device,date,hour,sleep_time,active_volume,avg_packet_size,mean_rate,peak_to_mean_rate,active_time,num_servers,num_protocols,unique_dns_reqs,dns_interval,ntp_interval
00-16-6c-ab-6b-88,16-09-23,23,7.4956,5033.22,338.38,280.53,13.45,5.13636,9,6,N/A,N/A,N/A
00-24-e4-11-18-a8,16-09-23,00,1.82819,311.139,59.64,31.97,33.9914,6.03261,4,4,2,113427376.991467,N/A
00-24-e4-11-18-a8,16-09-23,01,2.02657,353.895,61.42,33.13,50.88,6.34132,4,4,2,92159969.462075,N/A
00-24-e4-11-18-a8,16-09-23,02,1.68359,314.413,59.35,31.63,42.7662,6.37396,4,4,2,122880261.241317,N/A
00-24-e4-11-18-a8,16-09-23,03,1.84865,318.343,60.60,33.20,50.6931,5.92761,4,4,2,98304451.249098,N/A
00-24-e4-11-18-a8,16-09-23,04,2.02793,344.297,60.47,31.87,41.1139,6.44144,4,5,2,113428492.498093,N/A
00-24-e4-11-18-a8,16-09-23,05,1.56853,336.668,61.82,34.13,43.8937,6.46978,4,4,2,86739668.008081,N/A
00-24-e4-11-18-a8,16-09-23,06,2.68621,305.173,59.53,32.05,34.9168,5.0266,4,4,2,113429064.562851,N/A
00-24-e4-11-18-a8,16-09-23,07,1.78088,378.841,60.67,33.12,32.9184,7.17516,4,4,2,98305420.249139,N/A
00-24-e4-11-18-a8,16-09-23,08,1.34746,389.237,59.61,32.07,39.0154,8.36949,4,4,2,113429623.742097,N/A
00-24-e4-11-18-a8,16-09-23,09,1.84118,326.614,61.69,33.51,48.874,6.03261,4,4,2,86740504.881891,N/A
00-24-e4-11-18-a8,16-09-23,10,1.48504,344.528,61.21,33.98,37.626,6.77966,4,5,2,86740719.846551,N/A
00-24-e4-11-18-a8,16-09-23,11,1.88315,396.181,63.81,36.67,45.9598,6.64157,4,4,2,58983828.665739,N/A
00-24-e4-11-18-a8,16-09-23,12,1.90054,343.573,62.00,34.55,36.0161,6.09141,4,4,2,73729961.450996,N/A
00-24-e4-11-18-a8,16-09-23,13,1.5512,361.017,63.49,35.76,35.2171,6.6573,4,4,2,64113167.019963,N/A
00-24-e4-11-18-a8,16-09-23,14,1.95868,349.504,60.71,32.98,34.2026,6.40708,4,4,2,92162903.246813,N/A
00-24-e4-11-18-a8,16-09-23,15,1.85521,321.36,61.00,33.66,47.4155,5.904,4,4,2,92163133.560351,N/A
00-24-e4-11-18-a8,16-09-23,16,1.80882,330.394,62.10,34.33,35.8685,6,4,5,2,77611252.488279,N/A
00-24-e4-11-18-a8,16-09-23,17,1.85676,374.423,61.07,34.05,48.4891,6.79141,4,4,2,86742193.273277,N/A
00-24-e4-11-18-a8,16-09-23,18,1.63531,304.357,58.70,30.87,41.3283,6.38736,4,4,2,147462089.617261,N/A
00-24-e4-11-18-a8,16-09-23,19,1.88723,313.6,60.08,32.29,52.0941,5.95946,4,4,2,113432654.347929,N/A
00-24-e4-11-18-a8,16-09-23,20,1.96552,334.039,58.66,30.88,39.0958,6.53313,4,4,2,147462811.715753,N/A
00-24-e4-11-18-a8,16-09-23,21,1.56091,319.92,59.94,32.44,34.7179,6.48626,4,4,2,113433209.809394,N/A
00-24-e4-11-18-a8,16-09-23,22,2.00278,308.66,59.54,31.40,40.6157,5.89315,4,5,2,134057757.984937,N/A
00-24-e4-11-18-a8,16-09-23,23,1.96823,333.942,60.20,32.22,45.7123,6.25145,4,4,2,113433765.247969,N/A
00-24-e4-1b-6f-96,16-09-23,06,0,N/A,199.65,925.07,2.45963,N/A,6,5,2,1474577778.627725,N/A
00-24-e4-1b-6f-96,16-09-23,20,0,N/A,200.09,1055.65,2.22891,N/A,6,5,2,1474628218.968454,N/A
08-21-ef-3b-fc-e3,16-09-23,00,6.24679,695.843,117.93,43.21,157.971,5.20628,15,10,3,113427414.405860,N/A
08-21-ef-3b-fc-e3,16-09-23,01,5.5622,1603.13,169.00,95.01,100.18,5.88679,32,11,4,39852963.141180,N/A
08-21-ef-3b-fc-e3,16-09-23,02,8.28527,1864.22,145.01,76.68,93.7581,6.44595,28,11,3,58982536.889261,N/A
08-21-ef-3b-fc-e3,16-09-23,03,5.05157,1086.26,137.54,66.12,104.287,6.08257,30,11,4,61440281.033843,N/A
08-21-ef-3b-fc-e3,16-09-23,04,6.61765,2035.97,185.84,98.40,366.628,6.45087,22,9,4,64111766.522691,N/A
08-21-ef-3b-fc-e3,16-09-23,05,6.27202,3799.63,246.98,190.35,225.535,6.4382,30,10,4,49152479.105949,N/A
08-21-ef-3b-fc-e3,16-09-23,06,6.90331,1789.51,174.00,89.01,370.239,6.05056,32,12,3,61440746.767025,N/A
08-21-ef-3b-fc-e3,16-09-23,07,6.81148,1090.94,124.14,54.32,131.225,6.11798,23,10,4,73729072.577751,N/A
08-21-ef-3b-fc-e3,16-09-23,08,5.71671,1810.49,191.42,103.78,231.396,6,26,13,3,61441046.822434,N/A
08-21-ef-3b-fc-e3,16-09-23,09,6.70732,1647.59,154.19,81.02,61.8876,6.27273,21,9,4,64112548.791206,N/A
08-21-ef-3b-fc-e3,16-09-23,10,6.53369,3059.6,228.47,148.30,144.71,6.49412,22,10,4,58983690.640991,N/A
08-21-ef-3b-fc-e3,16-09-23,11,5.2156,1358.83,147.04,74.83,110.028,6.60914,31,14,3,52664141.634504,N/A
08-21-ef-3b-fc-e3,16-09-23,12,8.68525,1745.93,202.73,73.76,256.038,6.04027,24,11,4,92162474.703809,N/A
08-21-ef-3b-fc-e3,16-09-23,13,6.70541,4141.13,255.90,198.97,155.365,6.42105,40,10,5,32768959.720655,N/A
08-21-ef-3b-fc-e3,16-09-23,14,10.9684,5714.87,373.48,179.70,221.696,6.81081,27,10,3,86741485.612361,N/A
08-21-ef-3b-fc-e3,16-09-23,15,38.7123,3211.49,288.72,36.98,366.896,6.17143,20,9,2,210658376.223695,N/A
08-21-ef-3b-fc-e3,16-09-23,16,80.0526,1229.52,171.55,9.02,551.027,4.82609,10,7,3,163845978.424940,N/A
08-21-ef-3b-fc-e3,16-09-23,17,20.1,8499.71,313.62,176.71,318.173,6.20833,60,13,4,38805709.590185,N/A
08-21-ef-3b-fc-e3,16-09-23,18,38.25,3152.35,278.67,44.65,345.395,5.08163,32,9,2,184327359.722461,N/A
08-21-ef-3b-fc-e3,16-09-23,19,65.22,1093.23,160.17,9.67,615.071,4.9,12,8,3,210660427.197911,N/A
08-21-ef-3b-fc-e3,16-09-23,20,184.688,271.3,67.70,0.97,147.175,4.5,3,3,N/A,N/A,N/A
08-21-ef-3b-fc-e3,16-09-23,21,42.0405,4952.95,265.14,63.98,289.634,5.09302,23,9,2,122885761.558855,N/A
08-21-ef-3b-fc-e3,16-09-23,22,92.6571,2086.25,250.09,15.03,782.408,4.25,17,9,2,294927052.458528,N/A
08-21-ef-3b-fc-e3,16-09-23,23,137.52,740.667,124.54,3.19,517.439,4.8,8,7,3,294927770.040313,N/A
14-cc-20-51-33-ea,16-09-23,00,0.00250209,717977,90.13,453.40,15.8016,1539,86,30,4,7021697.082268,49.921309
14-cc-20-51-33-ea,16-09-23,01,0,N/A,97.24,505.53,24.026,N/A,106,31,4,6248135.070432,63.906296
14-cc-20-51-33-ea,16-09-23,02,0.00250209,798000,93.74,490.08,15.6806,1680,106,31,4,6068162.448534,63.679223
14-cc-20-51-33-ea,16-09-23,03,0.00250209,65127,92.52,468.44,15.5018,144,93,31,4,7485112.625163,51.077662
14-cc-20-51-33-ea,16-09-23,04,0.00250209,225444,98.97,511.76,90.2375,480,96,31,4,6922867.540701,63.714772
14-cc-20-51-33-ea,16-09-23,05,0,N/A,111.44,611.59,72.156,N/A,102,29,4,6553663.880793,61.678953
14-cc-20-51-33-ea,16-09-23,06,0.00250209,1607119,97.78,517.12,64.4379,3180,100,32,4,7485167.287421,53.347859
14-cc-20-51-33-ea,16-09-23,07,0.00250209,1626103,91.29,479.26,15.3141,3363,84,28,4,8146858.848370,63.761794
14-cc-20-51-33-ea,16-09-23,08,0,N/A,101.89,612.34,41.211,N/A,102,31,4,6642275.407961,74.389675
14-cc-20-51-33-ea,16-09-23,09,0,N/A,140.77,1082.55,38.3111,N/A,93,29,4,5120099.987645,74.978607
14-cc-20-51-33-ea,16-09-23,10,0,N/A,154.18,1394.19,31.5029,N/A,98,31,4,4818929.222577,65.657491
14-cc-20-51-33-ea,16-09-23,11,0,N/A,141.77,1185.62,35.8394,N/A,120,36,4,5970024.298840,68.914666
14-cc-20-51-33-ea,16-09-23,12,0,N/A,606.65,18677.06,118.473,N/A,261,73,4,2286200.930923,68.346260
14-cc-20-51-33-ea,16-09-23,13,0,N/A,678.38,25364.20,101.401,N/A,296,42,4,1544087.107256,66.687631
14-cc-20-51-33-ea,16-09-23,14,0,N/A,157.83,1711.75,30.3746,N/A,151,34,4,1995408.392533,79.538933
14-cc-20-51-33-ea,16-09-23,15,0,N/A,669.67,18885.38,112.373,N/A,191,35,4,2363157.537570,72.862673
14-cc-20-51-33-ea,16-09-23,16,0,N/A,111.11,613.27,84.7629,N/A,91,31,4,7193239.028446,71.924617
14-cc-20-51-33-ea,16-09-23,17,0,N/A,157.87,1019.92,59.84,N/A,131,32,5,5828528.050684,64.986634
14-cc-20-51-33-ea,16-09-23,18,0,N/A,97.14,482.51,34.5914,N/A,107,30,4,7843729.747663,85.476576
14-cc-20-51-33-ea,16-09-23,19,0,N/A,88.80,406.17,15.3347,N/A,83,28,4,8777528.537336,74.790312
14-cc-20-51-33-ea,16-09-23,20,0.00250209,908802,88.86,416.62,7.2611,2178,79,27,3,8830110.121669,65.722177
14-cc-20-51-33-ea,16-09-23,21,0,N/A,96.60,464.30,40.5232,N/A,83,29,4,8777571.406662,75.264491
14-cc-20-51-33-ea,16-09-23,22,0,N/A,90.36,414.87,18.6851,N/A,81,29,4,9392583.323326,61.589766
14-cc-20-51-33-ea,16-09-23,23,0.00250209,924772,87.76,403.05,8.72184,2280,75,30,4,9274460.235630,77.575746
18-b4-30-25-be-e4,16-09-23,11,0,N/A,216.36,1582.30,1.74679,N/A,13,9,2,368648296.422712,N/A
18-b7-9e-02-20-44,16-09-23,00,20.0769,362.05,96.46,10.10,68.1746,4.65,4,4,2,210650897.255801,N/A
18-b7-9e-02-20-44,16-09-23,01,22.8777,406.022,97.59,10.12,71.4734,4.65169,4,4,2,210651410.945996,N/A
18-b7-9e-02-20-44,16-09-23,02,22.8561,365.071,97.56,10.05,72.013,4.19388,4,4,2,210651924.351144,N/A
18-b7-9e-02-20-44,16-09-23,03,22.6739,329.009,98.41,10.42,69.4403,3.66964,4,5,2,210652395.472380,N/A
18-b7-9e-02-20-44,16-09-23,04,20.9795,358.868,104.70,11.01,105.458,4.04717,4,4,2,245761723.190502,N/A
18-b7-9e-02-20-44,16-09-23,05,19.6415,321.376,96.68,10.48,60.0545,4.02564,9,6,2,163841579.996169,18.234904
18-b7-9e-02-20-44,16-09-23,06,21.6828,339.515,93.29,9.44,70.2953,4.33333,4,4,2,245762919.135744,N/A
18-b7-9e-02-20-44,16-09-23,07,21.7917,340.693,92.40,9.66,66.8418,4.24752,4,4,2,184322676.829453,N/A
18-b7-9e-02-20-44,16-09-23,08,21.9441,324.724,94.08,9.58,66.6345,4.05714,4,5,2,245764119.249158,N/A
18-b7-9e-02-20-44,16-09-23,09,22.028,329.485,92.37,9.50,70.0845,4.13592,4,4,2,245764718.720125,N/A
18-b7-9e-02-20-44,16-09-23,10,21.4726,323.019,92.23,9.63,69.139,4.07547,4,4,2,184324026.142712,N/A
18-b7-9e-02-20-44,16-09-23,11,22.0775,322.34,92.60,9.65,68.9951,3.96226,4,4,2,184324476.871230,N/A
18-b7-9e-02-20-44,16-09-23,12,21.2877,320.019,93.38,9.61,69.2571,4.07547,4,4,2,210657058.258724,N/A
18-b7-9e-02-20-44,16-09-23,13,20.1429,367.106,94.46,9.73,70.3503,4.85106,4,5,2,245767116.275553,N/A
18-b7-9e-02-20-44,16-09-23,14,22.5324,324.904,93.24,9.54,65.8491,3.98077,4,4,2,210658082.639171,N/A
18-b7-9e-02-20-44,16-09-23,15,23.5333,350.186,92.27,9.56,69.6495,4.14433,4,4,2,245768310.054836,N/A
18-b7-9e-02-20-44,16-09-23,16,24.4351,333.412,92.28,9.55,73.525,3.79412,4,4,2,184326719.018806,N/A
18-b7-9e-02-20-44,16-09-23,17,21.2877,576.981,140.47,17.60,482.497,4.02778,9,7,2,147461734.898926,11.003505
18-b7-9e-02-20-44,16-09-23,18,22.4676,335.757,98.77,10.24,82.4561,3.84112,4,5,2,210660134.403364,N/A
18-b7-9e-02-20-44,16-09-23,19,24,318.086,93.45,9.53,69.8385,3.68571,4,4,2,245770704.444675,N/A
18-b7-9e-02-20-44,16-09-23,20,23.2667,351.567,92.57,9.64,69.1029,4.14433,4,4,2,210661115.644079,N/A
18-b7-9e-02-20-44,16-09-23,21,22.8561,337.431,95.07,10.08,69.6848,4.05882,4,4,2,184328999.539899,N/A
18-b7-9e-02-20-44,16-09-23,22,21.7552,295.946,94.09,9.83,73.1809,3.80357,4,5,2,245772549.361255,N/A
18-b7-9e-02-20-44,16-09-23,23,21.9296,279.578,92.40,9.64,69.1092,3.64655,4,4,2,210662699.143132,N/A
30-8c-fb-2f-e4-b2,16-09-23,00,0.030303,53582.9,96.83,185.01,4.36032,287.25,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,01,0.0201342,80755.4,97.13,185.52,5.37248,432.375,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,02,0.0252101,65597.1,96.93,188.59,2.37568,345.3,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,03,0.0328559,50149.3,97.01,187.15,4.50977,264.923,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,04,0.0252101,65758.1,97.22,188.75,3.59379,345.3,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,05,0.0201342,75374.4,96.86,189.14,5.5226,394.875,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,06,0.0252101,62810.9,97.36,196.42,5.90398,315.3,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,07,0.0201342,90541.1,97.89,207.39,6.39384,432.375,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,08,0.0125523,127806,104.41,286.06,19.6422,573.6,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,09,0.0100334,265696,106.75,404.61,3.30711,642.75,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,10,0.00500835,463270,125.00,613.55,10.7204,988.5,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,11,0.0125523,366397,126.14,569.31,11.4624,633.6,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,12,0,N/A,134.13,721.50,9.04358,N/A,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,13,0.00500835,401275,122.03,539.39,12.0253,688.5,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,14,0.00500835,1.08663e+06,113.43,618.22,10.6922,1738.5,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,15,0.0125523,282098,123.78,449.91,15.3303,573.6,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,16,0.0201342,87317.2,99.60,248.02,4.65135,357.375,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,17,0.0201342,132131,113.93,301.74,22.1868,432.375,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,18,0.0252101,66083.9,100.32,206.64,22.2622,315.3,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,19,0.030303,54193.6,97.22,186.87,2.55491,287.25,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,20,0.0277544,59834.3,97.06,188.83,2.96633,313.636,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,21,0.0252101,64833.1,96.99,186.27,2.5632,345.3,2,2,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,22,0.0277544,66876.1,99.39,192.06,25.7827,345,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-23,23,0.030303,54761.9,96.93,188.95,2.71893,287.25,2,2,N/A,N/A,N/A
44-65-0d-56-cc-d3,16-09-23,00,4.26667,815.888,95.53,58.63,65.172,5.74419,23,9,3,18665268.620389,86.114258
44-65-0d-56-cc-d3,16-09-23,01,4.46266,826.008,95.81,57.34,70.1086,5.78313,25,10,3,18431996.571213,106.238915
44-65-0d-56-cc-d3,16-09-23,02,4.10119,935.646,93.88,59.14,66.7645,6.67699,25,9,3,17554325.671921,109.425214
44-65-0d-56-cc-d3,16-09-23,03,4.73377,783.306,92.04,55.19,66.5271,5.60816,16,8,3,17554371.275679,67.171356
44-65-0d-56-cc-d3,16-09-23,04,3.81143,959.233,95.56,55.67,58.2769,7.75248,24,9,3,19150269.950252,87.025054
44-65-0d-56-cc-d3,16-09-23,05,4.62076,900.64,102.68,63.44,76.0516,5.58498,22,9,3,18204621.792318,85.748789
44-65-0d-56-cc-d3,16-09-23,06,4.49375,849.603,96.21,58.48,60.2419,5.80567,22,9,3,18665543.028060,71.486131
44-65-0d-56-cc-d3,16-09-23,07,3.71348,947.44,93.17,55.50,65.8676,7.60766,18,9,3,19150407.677058,91.969157
44-65-0d-56-cc-d3,16-09-23,08,4.02353,901.224,94.10,56.24,61.2513,6.84753,25,9,3,19150454.430592,97.200239
44-65-0d-56-cc-d3,16-09-23,09,3.69533,1012.26,95.05,59.42,58.8902,7.62857,23,9,3,17554627.694783,100.404670
44-65-0d-56-cc-d3,16-09-23,10,4.41649,838.181,94.96,59.28,64.63,5.71654,22,9,3,18665725.651181,84.219196
44-65-0d-56-cc-d3,16-09-23,11,4.1087,871.734,96.49,58.55,56.7389,6.27386,25,9,3,18905075.897428,85.881184
44-65-0d-56-cc-d3,16-09-23,12,3.73171,964.096,97.48,61.48,55.1512,6.96053,23,9,3,18432492.243639,86.945770
44-65-0d-56-cc-d3,16-09-23,13,4.20968,896.087,89.20,52.32,50.4271,7.125,20,9,3,19402670.773770,89.511957
44-65-0d-56-cc-d3,16-09-23,14,4.1497,807.313,94.36,58.68,54.3355,5.75676,26,9,3,18665905.186812,105.272117
44-65-0d-56-cc-d3,16-09-23,15,4.20842,930.255,95.29,60.84,46.9358,6.35745,22,9,3,17146629.551372,94.954231
44-65-0d-56-cc-d3,16-09-23,16,4.12277,866.901,95.35,58.46,61.1497,6.23554,25,10,3,18432671.784853,94.906403
44-65-0d-56-cc-d3,16-09-23,17,4.16168,936.607,94.85,58.66,67.9142,6.66964,19,9,4,16949626.159537,91.673817
44-65-0d-56-cc-d3,16-09-23,18,4.52842,831.154,95.23,60.46,55.2113,5.46718,28,9,3,18432764.434624,107.251518
44-65-0d-56-cc-d3,16-09-23,19,4.36475,834.415,96.27,56.03,65.0826,6.04979,20,8,3,19150968.636829,101.145053
44-65-0d-56-cc-d3,16-09-23,20,4.34082,922.983,94.20,60.45,54.6839,6.22979,24,9,3,17348569.011935,82.534827
44-65-0d-56-cc-d3,16-09-23,21,4.33402,964.127,97.24,59.76,51.3683,6.59729,21,9,3,17983314.140223,95.606246
44-65-0d-56-cc-d3,16-09-23,22,4.00391,926.106,92.89,56.00,70.5695,7.08333,19,9,3,17555183.619066,72.562900
44-65-0d-56-cc-d3,16-09-23,23,4.58861,815.117,92.44,54.25,49.5507,5.93724,23,9,3,18905628.513139,101.895261
50-c7-bf-00-56-39,16-09-23,00,76.5,248.844,83.11,2.42,93.0489,3.84375,4,4,2,737277358.678162,N/A
50-c7-bf-00-56-39,16-09-23,01,64.98,449.971,121.91,4.67,473.555,4.2,5,4,2,737279159.973955,N/A
50-c7-bf-00-56-39,16-09-23,02,87.3947,254.933,84.21,2.26,109.961,3.7,4,4,2,1474561922.813583,N/A
50-c7-bf-00-56-39,16-09-23,03,65.5294,422.811,122.04,4.51,477.377,4.05405,5,4,2,737283252.561924,N/A
50-c7-bf-00-56-39,16-09-23,04,77.5909,267.182,90.24,2.60,116.091,3.81818,4,5,2,737284569.184004,N/A
50-c7-bf-00-56-39,16-09-23,05,64.08,436.514,123.11,4.85,438.528,3.97297,4,4,2,368643187.769003,N/A
50-c7-bf-00-56-39,16-09-23,06,77.3571,256.833,84.83,2.31,107.251,4.1,4,4,2,1474576353.782059,N/A
50-c7-bf-00-56-39,16-09-23,07,64.3529,420.132,123.57,4.68,458.021,3.94737,4,4,2,491526652.203854,N/A
50-c7-bf-00-56-39,16-09-23,08,73.8667,427.278,123.85,4.48,505.108,3.66667,5,4,2,737292502.109735,N/A
50-c7-bf-00-56-39,16-09-23,09,85.65,243.125,85.07,2.30,107.677,3.5625,4,4,2,1474587162.370513,N/A
50-c7-bf-00-56-39,16-09-23,10,59.9434,456.676,124.35,5.18,426.165,4.13514,5,5,2,491530258.450603,N/A
50-c7-bf-00-56-39,16-09-23,11,65.5714,427.278,123.85,4.61,479.221,4,5,4,2,737297601.949499,N/A
50-c7-bf-00-56-39,16-09-23,12,81.9,256.531,85.65,2.45,99.7357,3.65625,4,4,2,1474597980.982408,N/A
50-c7-bf-00-56-39,16-09-23,13,68.9375,443.857,123.10,4.53,487.665,4.02857,5,4,2,737300791.935596,N/A
50-c7-bf-00-56-39,16-09-23,14,83.4878,232.818,84.06,2.28,108.971,3.54545,4,4,2,1474605186.699829,N/A
50-c7-bf-00-56-39,16-09-23,15,65.1429,455.286,123.65,4.89,438.185,4.02857,5,4,2,491536263.227390,N/A
50-c7-bf-00-56-39,16-09-23,16,62.5882,415.575,122.96,5.00,438.209,3.75,5,5,2,737306845.131890,N/A
50-c7-bf-00-56-39,16-09-23,17,83.6923,257.9,84.26,2.32,107.003,3.8,4,4,2,1474616000.407540,N/A
50-c7-bf-00-56-39,16-09-23,18,70.1489,481.03,121.93,4.65,421.36,4.18182,4,4,2,737309928.401888,N/A
50-c7-bf-00-56-39,16-09-23,19,83.775,248.032,82.85,2.24,85.5703,3.77419,4,4,2,737311608.037815,N/A
50-c7-bf-00-56-39,16-09-23,20,67.0588,434.865,121.40,4.52,488.609,4.05405,5,4,2,737313409.386595,N/A
50-c7-bf-00-56-39,16-09-23,21,71.6,510.367,125.76,4.61,479.165,4.4,5,4,2,737315968.472250,N/A
50-c7-bf-00-56-39,16-09-23,22,72.0638,263.829,89.74,2.65,113.905,3.94286,5,5,2,1474634024.579005,N/A
50-c7-bf-00-56-39,16-09-23,23,68.4375,417.111,125.96,4.41,500.906,3.91667,5,4,2,737319050.534657,N/A
70-5a-0f-e4-9b-c0,16-09-23,00,16.337,176.118,64.53,5.93,24.2794,4.58824,8,3,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,01,13.9387,198.025,65.91,6.63,27.315,5.275,8,3,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,02,14.6897,199.825,65.60,6.47,18.9692,5.26316,8,3,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,03,14.5271,178.104,65.20,6.36,28.4635,4.8,8,3,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,04,14.3793,192.031,68.48,6.99,31.6248,4.73438,12,7,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,05,15.7421,191.085,65.19,6.36,19.3097,4.80508,8,3,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,06,15.0303,207.895,67.66,6.71,40.0932,5.15789,9,4,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,07,15.8021,190.857,65.48,6.49,20.5732,4.68908,8,3,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,08,14.9391,186.816,66.25,6.64,27.2757,4.704,8,3,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,09,15.0603,191.585,66.40,6.58,29.5965,4.82927,8,3,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,10,14.3561,208.602,66.08,6.69,25.5269,5.38938,11,6,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,11,15.2741,209.261,66.20,6.70,27.0401,5.11304,8,3,N/A,N/A,N/A
70-5a-0f-e4-9b-c0,16-09-23,12,10.9377,15133.6,661.03,651.15,168.818,5.15436,13,13,3,737298863.463704,N/A
